time,value,series,true_state
0.0,-0.2250,runA,0
1.0,0.1250,runA,0
2.0,-0.0250,runA,0
3.0,-0.1750,runA,0
4.0,0.1750,runA,0
5.0,0.0250,runA,0
6.0,-0.1250,runA,0
7.0,0.2250,runA,0
8.0,0.0750,runA,0
9.0,-0.0750,runA,0
10.0,4.7750,runA,1
11.0,5.1250,runA,1
12.0,4.9750,runA,1
13.0,4.8250,runA,1
14.0,0.1750,runA,0
15.0,0.0250,runA,0
16.0,-0.1250,runA,0
17.0,0.2250,runA,0
18.0,0.0750,runA,0
19.0,-0.0750,runA,0
20.0,4.7750,runA,1
21.0,0.1250,runA,0
22.0,-0.0250,runA,0
23.0,-0.1750,runA,0
24.0,0.1750,runA,0
25.0,0.0250,runA,0
26.0,-0.1250,runA,0
27.0,5.2250,runA,1
28.0,5.0750,runA,1
29.0,4.9250,runA,1
30.0,4.7750,runA,1
31.0,5.1250,runA,1
32.0,4.9750,runA,1
33.0,4.8250,runA,1
34.0,5.1750,runA,1
35.0,5.0250,runA,1
36.0,-0.1250,runA,0
37.0,0.2250,runA,0
38.0,0.0750,runA,0
39.0,-0.0750,runA,0
40.0,-0.2250,runA,0
41.0,0.1250,runA,0
42.0,-0.0250,runA,0
43.0,-0.1750,runA,0
44.0,0.1750,runA,0
45.0,0.0250,runA,0
46.0,-0.1250,runA,0
47.0,0.2250,runA,0
48.0,0.0750,runA,0
49.0,-0.0750,runA,0
50.0,-0.2250,runA,0
51.0,0.1250,runA,0
52.0,-0.0250,runA,0
53.0,-0.1750,runA,0
54.0,0.1750,runA,0
55.0,0.0250,runA,0
56.0,-0.1250,runA,0
57.0,5.2250,runA,1
58.0,5.0750,runA,1
59.0,4.9250,runA,1
60.0,4.7750,runA,1
61.0,5.1250,runA,1
62.0,4.9750,runA,1
63.0,4.8250,runA,1
64.0,5.1750,runA,1
65.0,5.0250,runA,1
66.0,4.8750,runA,1
67.0,5.2250,runA,1
68.0,5.0750,runA,1
69.0,4.9250,runA,1
70.0,4.7750,runA,1
71.0,5.1250,runA,1
72.0,-0.0250,runA,0
73.0,4.8250,runA,1
74.0,5.1750,runA,1
75.0,5.0250,runA,1
76.0,4.8750,runA,1
77.0,5.2250,runA,1
78.0,5.0750,runA,1
79.0,4.9250,runA,1
80.0,4.7750,runA,1
81.0,5.1250,runA,1
82.0,4.9750,runA,1
83.0,4.8250,runA,1
84.0,5.1750,runA,1
85.0,5.0250,runA,1
86.0,4.8750,runA,1
87.0,5.2250,runA,1
88.0,5.0750,runA,1
89.0,4.9250,runA,1
90.0,4.7750,runA,1
91.0,5.1250,runA,1
92.0,-0.0250,runA,0
93.0,-0.1750,runA,0
94.0,0.1750,runA,0
95.0,0.0250,runA,0
96.0,-0.1250,runA,0
97.0,0.2250,runA,0
98.0,0.0750,runA,0
99.0,-0.0750,runA,0
100.0,-0.2250,runA,0
101.0,5.1250,runA,1
102.0,4.9750,runA,1
103.0,4.8250,runA,1
104.0,5.1750,runA,1
105.0,5.0250,runA,1
106.0,4.8750,runA,1
107.0,5.2250,runA,1
108.0,5.0750,runA,1
109.0,4.9250,runA,1
110.0,4.7750,runA,1
111.0,5.1250,runA,1
112.0,4.9750,runA,1
113.0,-0.1750,runA,0
114.0,0.1750,runA,0
115.0,0.0250,runA,0
116.0,-0.1250,runA,0
117.0,0.2250,runA,0
118.0,0.0750,runA,0
119.0,-0.0750,runA,0
