time,E_FRET,series
0,0.2517,trace1
1,0.2250,trace1
2,0.1825,trace1
3,0.1444,trace1
4,0.2476,trace1
5,0.2252,trace1
6,0.2383,trace1
7,0.2750,trace1
8,0.1583,trace1
9,0.1813,trace1
10,0.2083,trace1
11,0.1854,trace1
12,0.7709,trace1
13,0.7951,trace1
14,0.7223,trace1
15,0.7360,trace1
16,0.8185,trace1
17,0.7734,trace1
18,0.7215,trace1
19,0.7261,trace1
20,0.8076,trace1
21,0.7882,trace1
22,0.7820,trace1
23,0.7984,trace1
24,0.7546,trace1
25,0.8089,trace1
26,0.8333,trace1
27,0.7576,trace1
28,0.7769,trace1
29,0.7563,trace1
30,0.1875,trace1
31,0.1807,trace1
32,0.2247,trace1
33,0.1915,trace1
34,0.2169,trace1
35,0.8074,trace1
36,0.7569,trace1
37,0.8336,trace1
38,0.7497,trace1
39,0.7880,trace1
40,0.7758,trace1
41,0.8329,trace1
42,0.8066,trace1
43,0.9161,trace1
44,0.7984,trace1
45,0.7856,trace1
46,0.7672,trace1
47,0.7868,trace1
48,0.1153,trace1
49,0.2006,trace1
50,0.2089,trace1
51,0.1605,trace1
52,0.2077,trace1
53,0.2049,trace1
54,0.2983,trace1
55,0.1966,trace1
56,0.2583,trace1
57,0.2996,trace1
58,0.1848,trace1
59,0.1780,trace1
60,0.1527,trace1
61,0.2030,trace1
62,0.2164,trace1
63,0.7871,trace1
64,0.7968,trace1
65,0.7501,trace1
66,0.7960,trace1
67,0.7745,trace1
68,0.7845,trace1
69,0.7120,trace1
70,0.7501,trace1
71,0.7703,trace1
72,0.7918,trace1
73,0.8284,trace1
74,0.7306,trace1
75,0.9009,trace1
76,0.7598,trace1
77,0.7778,trace1
78,0.7554,trace1
79,0.7648,trace1
80,0.7604,trace1
81,0.7588,trace1
82,0.8066,trace1
83,0.7927,trace1
84,0.8431,trace1
85,0.8492,trace1
86,0.7957,trace1
87,0.7091,trace1
88,0.7419,trace1
89,0.7976,trace1
90,0.7267,trace1
91,0.6779,trace1
92,0.7377,trace1
93,0.8474,trace1
94,0.7403,trace1
95,0.7933,trace1
96,0.8183,trace1
97,0.7599,trace1
98,0.9246,trace1
99,0.8276,trace1
0,0.2809,trace2
1,0.1896,trace2
2,0.2280,trace2
3,0.2545,trace2
4,0.2474,trace2
5,0.2175,trace2
6,0.1422,trace2
7,0.8209,trace2
8,0.7760,trace2
9,0.7601,trace2
10,0.1816,trace2
11,0.1991,trace2
12,0.1843,trace2
13,0.1991,trace2
14,0.2339,trace2
15,0.2165,trace2
16,0.2084,trace2
17,0.1971,trace2
18,0.2211,trace2
19,0.2670,trace2
20,0.1832,trace2
21,0.7586,trace2
22,0.7746,trace2
23,0.7547,trace2
24,0.7706,trace2
25,0.8090,trace2
26,0.6584,trace2
27,0.2526,trace2
28,0.2263,trace2
29,0.8067,trace2
30,0.8044,trace2
31,0.7569,trace2
32,0.7661,trace2
33,0.1739,trace2
34,0.2844,trace2
35,0.2232,trace2
36,0.2374,trace2
37,0.2130,trace2
38,0.1936,trace2
39,0.2108,trace2
